<http://data.ehri-project.eu/vocabularies/ehri-terms/135>	Concerts
<http://data.ehri-project.eu/vocabularies/ehri-terms/136>	Cabaret
<http://data.ehri-project.eu/vocabularies/ehri-terms/315>	Children's homes
<http://data.ehri-project.eu/vocabularies/ehri-terms/493>	Typhus
<http://data.ehri-project.eu/vocabularies/ehri-terms/518>	Deportations
<http://data.ehri-project.eu/vocabularies/ehri-terms/556>	Forced labour
<http://data.ehri-project.eu/vocabularies/ehri-terms/672>	Culture
<http://data.ehri-project.eu/vocabularies/ehri-terms/691>	Music
<http://data.ehri-project.eu/vocabularies/ehri-terms/692>	Musicians
<http://data.ehri-project.eu/vocabularies/ehri-terms/695>	Theatre
<http://data.ehri-project.eu/vocabularies/ehri-terms/726>	Religious life
<http://data.ehri-project.eu/vocabularies/ehri-terms/832>	Food and eating
